area;ciudad;conglomerado;panelm;vivienda;hogar;c01;c02;c03;c04a;c05a;c05b;c06a;c06b;c07;c08a;c09;c10;c11;c12;c13;c14;c15a;c16a;c17a;c18;c19;c20a;c21a;estrato;fexp;upm;id_vivienda;id_hogar;periodo
1;10150;016103;024;01;1;2;2;2;2;2;2;2;2;3;2;2;2;2;2;3;2;2;2;2;2;2;2;2;2711;96,8311232408674;010150016103;01015001610302401;010150016103024011;202109
1;10150;016103;024;02;1;3;2;2;2;3;2;3;2;3;2;3;2;3;3;3;3;2;2;2;2;2;2;2;2711;96,8311232408674;010150016103;01015001610302402;010150016103024021;202109
1;10150;016103;024;04;1;2;2;2;2;3;2;3;2;3;2;3;2;3;2;3;2;2;2;2;2;2;2;2;2711;96,8311232408674;010150016103;01015001610302404;010150016103024041;202109
1;10150;016103;024;05;1;2;2;2;2;3;2;3;2;3;2;2;2;3;3;3;3;2;2;2;2;2;2;2;2711;96,8311232408674;010150016103;01015001610302405;010150016103024051;202109
1;10150;016103;024;06;1;2;2;2;2;3;2;3;2;2;2;2;2;3;2;3;3;2;2;2;2;2;2;2;2711;96,8311232408674;010150016103;01015001610302406;010150016103024061;202109
1;10150;016103;024;07;1;3;2;2;2;3;2;3;2;3;2;3;2;3;3;3;3;2;2;2;2;2;3;3;2711;96,8311232408674;010150016103;01015001610302407;010150016103024071;202109
1;10150;016103;024;08;1;2;2;2;2;2;2;2;2;3;2;2;2;2;2;3;2;2;2;2;2;2;2;2;2711;96,8311232408674;010150016103;01015001610302408;010150016103024081;202109
1;10150;016401;024;01;1;2;2;1;2;3;2;3;1;3;1;3;2;3;3;3;3;2;2;2;3;2;3;2;2712;69,0253748191228;010150016401;01015001640102401;010150016401024011;202109
1;10150;016401;024;02;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;2;2712;69,0253748191228;010150016401;01015001640102402;010150016401024021;202109
1;10150;016401;024;04;1;3;2;2;2;3;2;3;2;2;1;3;3;3;3;3;3;2;2;2;2;2;3;2;2712;69,0253748191228;010150016401;01015001640102404;010150016401024041;202109
1;10150;016401;024;05;1;3;1;2;2;3;1;3;2;3;1;3;3;3;3;3;3;2;2;2;3;2;3;3;2712;69,0253748191228;010150016401;01015001640102405;010150016401024051;202109
1;10150;016401;024;06;1;2;2;2;2;2;2;2;2;3;2;2;2;2;2;3;2;2;2;2;2;1;2;1;2712;69,0253748191228;010150016401;01015001640102406;010150016401024061;202109
1;10150;016401;024;07;1;3;2;1;2;3;2;3;2;2;2;3;3;3;3;3;3;2;2;2;2;2;2;2;2712;69,0253748191228;010150016401;01015001640102407;010150016401024071;202109
1;10150;016401;024;08;1;2;2;2;2;2;2;2;2;2;2;2;2;2;3;2;3;2;2;2;2;2;3;3;2712;69,0253748191228;010150016401;01015001640102408;010150016401024081;202109
1;10150;016901;023;01;1;3;2;2;2;3;1;2;2;2;2;3;2;3;2;3;2;2;2;2;3;2;3;2;2712;152,744608392558;010150016901;01015001690102301;010150016901023011;202109
1;10150;016901;023;02;1;3;2;1;2;3;1;2;2;1;2;1;2;3;2;3;2;2;2;2;3;2;3;2;2712;152,744608392558;010150016901;01015001690102302;010150016901023021;202109
1;10150;016901;023;03;1;3;2;2;2;3;1;2;2;2;2;1;2;2;2;2;2;2;2;2;3;2;3;2;2712;152,744608392558;010150016901;01015001690102303;010150016901023031;202109
1;10150;016901;023;05;1;2;2;1;2;3;2;2;2;1;2;1;2;3;2;3;2;2;2;2;2;2;3;2;2712;152,744608392558;010150016901;01015001690102305;010150016901023051;202109
1;10150;016901;023;06;1;3;2;2;2;3;1;2;2;1;2;3;2;3;2;3;2;2;2;2;3;2;3;2;2712;152,744608392558;010150016901;01015001690102306;010150016901023061;202109
1;10150;016901;023;07;1;3;2;1;2;3;1;2;2;1;2;1;2;3;2;3;2;2;2;2;3;2;3;2;2712;152,744608392558;010150016901;01015001690102307;010150016901023071;202109
1;10150;016901;023;09;1;2;1;3;2;3;3;2;2;1;2;3;2;2;2;2;2;2;2;2;2;2;2;2;2712;152,744608392558;010150016901;01015001690102309;010150016901023091;202109
1;10150;018101;024;01;1;2;2;2;2;3;2;3;2;3;2;2;2;3;3;3;3;2;2;2;2;2;2;2;2711;565,898509738369;010150018101;01015001810102401;010150018101024011;202109
1;10150;018101;024;02;1;2;2;2;2;3;2;3;2;2;2;3;3;3;3;3;3;2;2;2;2;2;2;2;2711;565,898509738369;010150018101;01015001810102402;010150018101024021;202109
1;10150;018101;024;03;1;3;2;2;2;3;2;3;2;3;2;3;3;3;3;3;3;2;2;2;2;2;3;2;2711;565,898509738369;010150018101;01015001810102403;010150018101024031;202109
1;10150;018101;024;04;1;3;2;2;2;3;2;3;2;2;1;3;3;3;3;3;3;2;2;2;3;2;3;3;2711;565,898509738369;010150018101;01015001810102404;010150018101024041;202109
